Est Dia in M(max),Relative Velocity km per sec,Miss Dist.(Astronomical),Orbit Uncertainity (categ),Minimum Orbit Intersection,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Perihelion Distance,Mean Anomaly,Mean Motion,Perihelion Arg,Est Dia in M(max)_raiz2,Miss Dist.(Astronomical)_raiz2,Minimum Orbit Intersection_log,Semi Major Axis_log,Inclination_squared,Perihelion Distance_squared,Mean Anomaly_raiz2,Mean Motion_cuarta,Perihelion Arg_squared,Dataset,Hazardous
783.5017643338,32.3300071765,0.4409026317,0,0.0612238,0.5547433819690687,1.280170488133454,22.71757623517739,120.3006844146116,0.5700043820493083,308.9061558463168,0.6804596182361641,270.9613795238113,1.1733399375912088,1.738753505650559,-0.3883806784023703,0.23969531916505996,4.310904651472562,4.086697937267011,1.6952519458978932,9.050148508866549,6.853751923635285,train,0
163.696720474,8.0114965458,0.082265101,0,0.0526362,0.3080459600120383,1.408823333092392,4.066993347434498,183.760812955057,0.9748409969625864,39.31811816553802,0.5894124025280193,97.0279058420122,0.5334493843706626,0.7504529357119231,-0.5394940193100138,0.41672465034554096,0.137414908980273,13.64716661684999,0.6048584527974944,4.652961486415392,0.8788740304700401,train,0
297.8790627982,11.3072276284,0.1254696238,3-9,0.0728584,0.3673559441002549,1.262389477394794,15.19873757687847,77.51523434009853,0.7986431991042022,355.6146552537494,0.6948867411251398,309.9179981143233,0.7218108675474681,0.9271150079112777,-0.21441702207805982,0.21256413128767482,1.928436986508517,8.798443696795117,1.8189053380370135,9.961613647007203,8.966145958827408,train,0
472.1064988055,13.7408581937,0.1816216139,1-2,0.154706,0.5405178023526714,0.968377581781579,11.22419547692227,128.2836974696954,0.4449522594294055,266.010279771211,1.034277277622917,358.5166597457216,0.9099544297229972,1.1156694762050683,0.5385410948918203,-0.39396468273858914,1.051063647596699,2.2646786784389525,1.5731532676918802,58.63823403202739,11.998572697077568,train,0
986.3702813054,15.9505222846,0.3995142402,1-2,0.127016,0.68852450210215,2.204217594226022,20.77107532626468,157.5563352424936,0.6865597726367515,280.2993561005476,0.30117739801559,232.7271668132684,1.3168907277203397,1.655100881379436,0.34133743445843423,1.111408619563763,3.603414971961343,6.265639811791267,1.6148513923814478,0.15490360023731373,5.056029090328088,train,0
74.8238376074,6.8889304173,0.1951681614,3-9,0.0157152,0.402979713386451,1.081029038813631,4.341887964842829,8.729539435667014,0.6453962665900835,107.4392158849714,0.8768958880378495,115.3740052464253,0.35772245350983395,1.156564438560333,-1.7479587992963763,-0.11665871503475499,0.15668455575873355,5.44313271298477,0.9997981911637953,28.367785246426894,1.2426372517869029,train,0
19.6806745089,8.7788982574,0.0038534768,3-9,0.0034944,0.2793780849302993,0.9961676341362522,1.619224650857182,255.2330250849039,0.7178602282417189,334.1003631775795,0.991300746095974,83.61802548803247,0.17549243667693193,0.15910023733114867,-3.249876757857638,-0.31808300201670286,0.021564698453812876,6.929787601856866,1.7630273245524912,48.706758476661946,0.6527367423322902,train,0
71.4562101727,10.2882873811,0.0198054992,3-9,0.00398015,0.2438929945052555,0.9406831317533808,16.20878050888338,225.7771256196328,0.711257105869467,288.8718104297286,1.080286725032244,297.0989132528018,0.3493297267757817,0.3670643378126223,-3.119961840340174,-0.4757863292864947,2.1935065333672075,6.786895572496471,1.6393584370617134,70.87732377076057,8.239763558828226,train,0
651.6883821679,7.5663719764,0.2486600651,0,0.104527,0.3523205023240839,1.421408610854706,14.34584069834662,123.3562380998592,0.920617215070598,0.7018322517057791,0.5816016913357624,77.21062958258037,1.069793564487352,1.305592013582248,0.14648158504728176,0.4324713781344952,1.7178956955207847,12.042098717566722,0.08123779368702676,4.370703063605458,0.5565387262678233,train,0
2844.7229650327,12.9168275578,0.4050753242,0,0.113515,0.5582690272640618,0.8293063345350434,16.74546069046597,349.5743177256604,0.3663302938502401,297.8141366608244,1.305063368877836,292.8382840671751,2.2380357771844843,1.6665849328332145,0.22896588274024735,-0.895694813205611,2.341291647249119,1.3925071276780205,1.664538414958652,160.1941275075492,8.005131603160109,train,0
82.0427064882,14.0816987906,0.1924357488,3-9,0.0558948,0.4009808265262483,0.7756431778134538,10.64182928594618,216.4820443775928,0.4646251352843694,190.4385076738049,1.442816527072574,173.1568110516509,0.37508095310864364,1.1484329497633792,-0.47943447923505184,-1.1852753279468158,0.9447007251563166,2.515924647763482,1.3310723425189988,245.84547245323165,2.798974644857112,train,0
3420.1092471982,24.8952080129,0.4087230797,0,0.0711992,0.5148546067939354,0.9977413648746208,19.80535260970397,126.2343971498261,0.4840496267800535,257.4591956285523,0.988956313177994,43.83123465873408,2.4541173995784726,1.6740750338439077,-0.23745104263166622,-0.31395340515153275,3.2759260850596266,2.7769626972838317,1.547662414288907,48.20403809851617,0.17936512973445673,train,0
594.3468684194,25.580738937,0.3942025636,1-2,0.0113181,0.3647240866394673,1.145920073430122,22.85879765054557,62.71807742955433,0.7279754212864895,299.0540200738716,0.803475397490113,91.29045438558076,1.0214777525202996,1.6440569739993414,-2.0760118163833368,0.013932913494556425,4.36469968346116,7.151567885820299,1.6679996974083242,19.20966935832483,0.7780114423486602,train,1
567.5968528656,18.1772514335,0.3502484976,1-2,0.137282,0.6331275269353329,1.824039385686455,9.413143253489231,253.6143434188372,0.6691898403941459,252.6089326290904,0.400085448969761,22.35299561072733,0.9981385680300489,1.5496513130682246,0.4190574739486095,0.8378210678385939,0.7389037131670724,5.911507967358793,1.5330153587535131,0.7042123954040193,0.0466559917855565,train,0
