scaler__Est Dia in M(max) scaler__Minimum Orbit Intersection_log,encoder__Orbit Uncertainity (categ)_1-2,scaler__Est Dia in M(max)_raiz2,scaler__Perihelion Distance scaler__Mean Motion_cuarta,scaler__Est Dia in M(max) scaler__Est Dia in M(max)_raiz2,scaler__Minimum Orbit Intersection,Dataset,Hazardous
0.14037957998287892,0.0,0.805002852585695,0.029672313106084317,0.8751891845179508,0.13760078701574505,train,0
-0.009837031314198975,0.0,-0.1941764914567915,-0.05266064438905664,0.033126988498560286,0.05683386048716353,train,0
0.02149783006785266,0.0,0.09994709304720195,0.0020524471278089164,0.010164423542870909,0.2470249431699016,train,0
0.2583443134140022,1.0,0.3937303972297988,-1.0996222710835122,0.17925101363427298,1.0168068491437159,train,0
0.7107726999000228,1.0,1.0291552230123446,0.09420908233810114,1.5425752760196199,0.7563806304590516,train,0
0.18032776407565604,0.0,-0.46857141512681705,-0.19459477003068062,0.16444750137158765,-0.2904105028229299,train,0
0.5665735615790248,0.0,-0.7531208084059423,-0.2595252256438491,0.34858861133465285,-0.4053479074203132,train,0
0.4159790781810074,0.0,-0.4816765299791187,-0.43537324260052057,0.17233860120385705,-0.400779397643279,train,0
0.31317012510989983,0.0,0.6433167694966844,-0.03387476626400824,0.5273232688988533,0.5448701489856168,train,0
2.219043723902864,0.0,2.467509175355105,-4.1370778986401895,13.003994490785763,0.6294028630895446,train,0
-0.028943326552127228,0.0,-0.441466382624919,-5.142054847926839,0.14846760016582805,0.08748120162858089,train,0
1.2907415575557524,0.0,2.804917334667073,-0.7726562457844639,18.057326719641516,0.2314200611893456,train,0
-0.47049640164771195,1.0,0.5678723656605169,-0.05183250889187296,0.3994014531273108,-0.3317655091854556,train,1
0.3316345199522723,1.0,0.5314285848731829,0.09996509224143145,0.3449210427599251,0.8529330161945793,train,0
0.11718642325472699,0.0,0.1263939022371954,-0.2478016080270831,0.01645484740835806,2.5021391817782526,train,0
-0.005741554620512817,1.0,0.23844222418273242,-0.29705150973879324,0.06156990330847961,-0.02013059871696119,train,1
0.9891152839963555,0.0,0.7631790102670789,-0.21459776126404095,0.7751048745971048,2.9984538074990335,train,0
-0.027253222703266224,0.0,0.1263939022371954,-0.00921849173485323,0.01645484740835806,-0.15676454516640848,train,1
-0.39685635232221966,1.0,0.805002852585695,0.11342179287433435,0.8751891845179508,-0.23573510449496216,train,1
-0.045415563921493575,0.0,0.048832471823813145,0.007417648466745771,0.002368813908600312,-0.377751851151697,train,1
0.5511499955342326,0.0,-0.5312751803100463,-0.003674191305411978,0.20304526562900377,-0.417511758681109,train,0
0.02192776395038398,1.0,0.42698032499742933,-2.0835524737164812,0.21366750800822779,0.042552270993748496,train,0
0.14159019675799892,1.0,0.42698032499742933,-0.060859320209154695,0.21366750800822779,0.3589781209999088,train,0
0.024614739095745533,1.0,0.07409785224333411,-0.07850032398935643,0.005519642541887426,0.4432042300215282,train,0
1.140398798466412,0.0,0.8421790053913933,-0.2239457891704142,0.9703449588251329,3.1157819793333124,train,0
0.03255892043909498,0.0,0.18113664861540688,0.009246990741639066,0.03464351362085345,0.18991081177927824,train,0
0.3940137339490171,0.0,-0.5766706158121548,-0.042479815831113064,0.23209617785811584,-0.3829827595774116,train,0
-0.22522076326977006,0.0,0.9363942135844174,-0.11840996318608858,1.23861519828414,-0.13251734999158243,train,1
-0.0,0.0,0.0,0.0069953088217276005,0.0,-0.4224589163297302,train,1
-0.09891679493853324,0.0,-0.21339896682730058,-0.20191542646715135,0.0395969687178198,0.914799526360983,train,0
0.5346219040554349,0.0,-0.73861949934948,-0.9283205474802787,0.33903049934424656,-0.40094567917258,train,0
